translation,reference,source,translation_clean,reference_clean,source_clean
 ... and borrow money from the people of the village.,Borrow money from people in the village,Pedir dinheiro emprestado às pessoas da aldeia, and borrow money from the people of the village ,borrow money from people in the village,pedir dinheiro emprestado às pessoas da aldeia
 We lock,Lock them up,Trancá-los, we lock,lock them up,trancá los
 YouTube is still the best video platform,Youtube is still the best video platform.,O Youtube ainda é a melhor plataforma de vídeos., youtube is still the best video platform,youtube is still the best video platform ,o youtube ainda é a melhor plataforma de vídeos 
 Girl and boy kissing in the shadows,A girl and a boy kissing in the shadows,Menina e menino beijando nas sombras, girl and boy kissing in the shadows,a girl and a boy kissing in the shadows,menina e menino beijando nas sombras
 I am the Lord.,I am the Lord,Eu sou o Senhor, i am the lord ,i am the lord,eu sou o senhor
 The magician created a very powerful spell in the city.,The wizard cast a very powerful spell on the city.,O mago lançou um feitiço muito poderoso sobre a cidade., the magician created a very powerful spell in the city ,the wizard cast a very powerful spell on the city ,o mago lançou um feitiço muito poderoso sobre a cidade 
 Two women and a girl get up with trophies.,Two women and a girl pose with trophies.,Duas mulheres e uma menina levantam com troféus., two women and a girl get up with trophies ,two women and a girl pose with trophies ,duas mulheres e uma menina levantam com troféus 
 A black dog and a white dog are running in the dirt.,"Two dogs, one black and the other black and white, are running around in the dirt.",Um cão preto e um cão preto e branco estão correndo na sujeira., a black dog and a white dog are running in the dirt ,two dogs one black and the other black and white are running around in the dirt ,um cão preto e um cão preto e branco estão correndo na sujeira 
 I'm gonna have a belly tomorrow,I think her name is Olivia.,Eu acho que o nome dela é Olivia., i m gonna have a belly tomorrow,i think her name is olivia ,eu acho que o nome dela é olivia 
 Give the Devil his due.,Give the devil his due.,Dê o diabo o seu devido., give the devil his due ,give the devil his due ,dê o diabo o seu devido 
" Wherever you go, do what you will see.","Wherever you go, do what you see.","Onde quer que você vá, faça o que você verá.", wherever you go do what you will see ,wherever you go do what you see ,onde quer que você vá faça o que você verá 
