,transcription,sentence,translation,transcription_clean,sentence_clean,translation_clean
0, e dia de ir emprestado as pessoas daudei.,Pedir dinheiro emprestado às pessoas da aldeia,Borrow money from people in the village, e dia de ir emprestado as pessoas daudei ,pedir dinheiro emprestado às pessoas da aldeia,borrow money from people in the village
1, Tronca-vos.,Trancá-los,Lock them up, tronca vos ,trancá los,lock them up
2, Youtube ainda é a melhor plataforma de vídeos.,O Youtube ainda é a melhor plataforma de vídeos.,Youtube is still the best video platform., youtube ainda é a melhor plataforma de vídeos ,o youtube ainda é a melhor plataforma de vídeos ,youtube is still the best video platform 
3," Menina e menino, pejando nas sombras.",Menina e menino beijando nas sombras,A girl and a boy kissing in the shadows, menina e menino pejando nas sombras ,menina e menino beijando nas sombras,a girl and a boy kissing in the shadows
4, Eu sou senhora.,Eu sou o Senhor,I am the Lord, eu sou senhora ,eu sou o senhor,i am the lord
5, O mago mostrou um feitiço muito poderoso na cidade.,O mago lançou um feitiço muito poderoso sobre a cidade.,The wizard cast a very powerful spell on the city., o mago mostrou um feitiço muito poderoso na cidade ,o mago lançou um feitiço muito poderoso sobre a cidade ,the wizard cast a very powerful spell on the city 
6, 2 árvores em um homemino usando com troféz.,Duas mulheres e uma menina levantam com troféus.,Two women and a girl pose with trophies., 2 árvores em um homemino usando com troféz ,duas mulheres e uma menina levantam com troféus ,two women and a girl pose with trophies 
7, Um campo preto e um campo preto e branco estão correndo na sujeira.,Um cão preto e um cão preto e branco estão correndo na sujeira.,"Two dogs, one black and the other black and white, are running around in the dirt.", um campo preto e um campo preto e branco estão correndo na sujeira ,um cão preto e um cão preto e branco estão correndo na sujeira ,two dogs one black and the other black and white are running around in the dirt 
8, Eu acho que能ku dela ability...,Eu acho que o nome dela é Olivia.,I think her name is Olivia., eu acho que能ku dela ability ,eu acho que o nome dela é olivia ,i think her name is olivia 
9, Deu de abo o seu devido.,Dê o diabo o seu devido.,Give the devil his due., deu de abo o seu devido ,dê o diabo o seu devido ,give the devil his due 
10," onde quer que você vá, faça o que você verá.","Onde quer que você vá, faça o que você verá.","Wherever you go, do what you see.", onde quer que você vá faça o que você verá ,onde quer que você vá faça o que você verá ,wherever you go do what you see 
11, O estátis não vão te agredir em definidamento.,Os taxistas mantêm a greve indefinidamente.,The taxi drivers remain on strike indefinitely., o estátis não vão te agredir em definidamento ,os taxistas mantêm a greve indefinidamente ,the taxi drivers remain on strike indefinitely 
12, O campo preto pega um brinquedo da boca enquanto corre no campo.,O cão preto pega um brinquedo na boca enquanto corre no campo.,The black dog catches a toy in its mouth while it runs in the field., o campo preto pega um brinquedo da boca enquanto corre no campo ,o cão preto pega um brinquedo na boca enquanto corre no campo ,the black dog catches a toy in its mouth while it runs in the field 
13, O jogo tem uma parte da Brava.,O espelho tinha uma parte de metal,The mirror had a part made of metal, o jogo tem uma parte da brava ,o espelho tinha uma parte de metal,the mirror had a part made of metal
14, Uガ. Doyou do país em骚. Saiosswasama Amyan,O rumo do páis é incerto.,The path the country is taking is uncertain., uガ doyou do país em骚 saiosswasama amyan,o rumo do páis é incerto ,the path the country is taking is uncertain 
15, O objetivo desta conversa é...,O objetivo da conversa é,The purpose of the conversation is, o objetivo desta conversa é ,o objetivo da conversa é,the purpose of the conversation is
16, Estou interessado apenas do presente.,Estou interessado apenas no presente.,I'm only interested in the present., estou interessado apenas do presente ,estou interessado apenas no presente ,i m only interested in the present 
17, Você vai deixar ela sair?,Você vai deixá-la sair?,Are you going to let her go out?, você vai deixar ela sair ,você vai deixá la sair ,are you going to let her go out 
18," Um bebé choro enquanto cercado por verde, amarelo e vinquedos laranja.",Um bebê chora enquanto cercado por verde? amarelo? e brinquedos laranja.,A baby crying surrounded by green? Yellow? And orange toys., um bebé choro enquanto cercado por verde amarelo e vinquedos laranja ,um bebê chora enquanto cercado por verde amarelo e brinquedos laranja ,a baby crying surrounded by green yellow and orange toys 
19, Deus realmente eu Ninete probiar,Eu realmente não sei o que fazer.,I really don't know what to do., deus realmente eu ninete probiar,eu realmente não sei o que fazer ,i really don t know what to do 
20, mas eles realmente nós hab chirping,Mas eles realmente não sabem o que estão dizendo.,But they really don't know what they are saying., mas eles realmente nós hab chirping,mas eles realmente não sabem o que estão dizendo ,but they really don t know what they are saying 
21, Um cão pequeno joga com uma bola colorida na areia.,Um cão pequeno joga com uma bola colorida na areia.,A small dog plays with a colorful ball in the sand., um cão pequeno joga com uma bola colorida na areia ,um cão pequeno joga com uma bola colorida na areia ,a small dog plays with a colorful ball in the sand 
22, Um cara tirando dinheiro de um caixê eletrônico.,Um cara tirando dinheiro de um caixa eletrônico.,A guy withdrawing money from an ATM., um cara tirando dinheiro de um caixê eletrônico ,um cara tirando dinheiro de um caixa eletrônico ,a guy withdrawing money from an atm 
23," Com isso, afeta você!",Como isso afeta você?,How does this affect you?, com isso afeta você ,como isso afeta você ,how does this affect you 
24, A detaulaixo contacida de uma aranha.,Nada é tão elástico quanto a seda de uma aranha.,Nothing is as stretchy as a spider's silk., a detaulaixo contacida de uma aranha ,nada é tão elástico quanto a seda de uma aranha ,nothing is as stretchy as a spider s silk 
25, O encadador é pictual válvalo com o vazamento.,O encanador apertou a válvula com vazamento.,The plumber tightened the leaking valve., o encadador é pictual válvalo com o vazamento ,o encanador apertou a válvula com vazamento ,the plumber tightened the leaking valve 
26," 2 homens está falando, óleo em para cima e aponto para uma coisa",Dois homens na varanda olham para cima e apontam para alguma coisa.,Two men on the balcony look up and point at something., 2 homens está falando óleo em para cima e aponto para uma coisa,dois homens na varanda olham para cima e apontam para alguma coisa ,two men on the balcony look up and point at something 
27, Vingador Sula Infinita today.,Vingadores Guerra Infinita.,Avengers: Infinity War., vingador sula infinita today ,vingadores guerra infinita ,avengers infinity war 
28, Uma filera de mesas em um banco fora de um restaurante.,Uma fileira de mesas e um banco fora de um restaurante,A row of tables and a bench outside of the restaurant., uma filera de mesas em um banco fora de um restaurante ,uma fileira de mesas e um banco fora de um restaurante,a row of tables and a bench outside of the restaurant 
29, 4 crianças com idade escolar estão jogando queimada no ginásio,Quatro crianças com idade escolar estão jogando queimada no ginásio,Four school-aged children are playing dodgeball at the gymnasium., 4 crianças com idade escolar estão jogando queimada no ginásio,quatro crianças com idade escolar estão jogando queimada no ginásio,four school aged children are playing dodgeball at the gymnasium 
30, Isso passou pela minha cabeça.,Isso passou pela minha cabeça.,It crossed my mind., isso passou pela minha cabeça ,isso passou pela minha cabeça ,it crossed my mind 
31, Empon,Honrar vem com sofrimento.,The honor comes with suffering., empon,honrar vem com sofrimento ,the honor comes with suffering 
32," Bem vindo, senhor.",Bem vindo senhor!,"Welcome, sir!", bem vindo senhor ,bem vindo senhor ,welcome sir 
