translation,reference,source,translation_clean,reference_clean,source_clean
 and day by day and for the people of the day,Borrow money from people in the village,Pedir dinheiro emprestado às pessoas da aldeia, and day by day and for the people of the day,borrow money from people in the village,pedir dinheiro emprestado às pessoas da aldeia
 let's drink,Lock them up,Trancá-los, let s drink,lock them up,trancá los
 Youtube is even better for video platforms,Youtube is still the best video platform.,O Youtube ainda é a melhor plataforma de vídeos., youtube is even better for video platforms,youtube is still the best video platform ,o youtube ainda é a melhor plataforma de vídeos 
 Men are watching our guys,A girl and a boy kissing in the shadows,Menina e menino beijando nas sombras, men are watching our guys,a girl and a boy kissing in the shadows,menina e menino beijando nas sombras
 You are so good,I am the Lord,Eu sou o Senhor, you are so good,i am the lord,eu sou o senhor
 The magic was very powerful in cities.,The wizard cast a very powerful spell on the city.,O mago lançou um feitiço muito poderoso sobre a cidade., the magic was very powerful in cities ,the wizard cast a very powerful spell on the city ,o mago lançou um feitiço muito poderoso sobre a cidade 
 2 soldiers olvidate the selection with the clothes,Two women and a girl pose with trophies.,Duas mulheres e uma menina levantam com troféus., 2 soldiers olvidate the selection with the clothes,two women and a girl pose with trophies ,duas mulheres e uma menina levantam com troféus 
 A complete and a complete white are running in the floor.,"Two dogs, one black and the other black and white, are running around in the dirt.",Um cão preto e um cão preto e branco estão correndo na sujeira., a complete and a complete white are running in the floor ,two dogs one black and the other black and white are running around in the dirt ,um cão preto e um cão preto e branco estão correndo na sujeira 
 I think I can get it,I think her name is Olivia.,Eu acho que o nome dela é Olivia., i think i can get it,i think her name is olivia ,eu acho que o nome dela é olivia 
 God of Zou saving others,Give the devil his due.,Dê o diabo o seu devido., god of zou saving others,give the devil his due ,dê o diabo o seu devido 
 Where do you want me to go? Do what you want to see!,"Wherever you go, do what you see.","Onde quer que você vá, faça o que você verá.", where do you want me to go do what you want to see ,wherever you go do what you see ,onde quer que você vá faça o que você verá 
 I'll start by increasing the gapness,The taxi drivers remain on strike indefinitely.,Os taxistas mantêm a greve indefinidamente., i ll start by increasing the gapness,the taxi drivers remain on strike indefinitely ,os taxistas mantêm a greve indefinidamente 
 the tamper you get a kid ofーfull look for thenam,The black dog catches a toy in its mouth while it runs in the field.,O cão preto pega um brinquedo na boca enquanto corre no campo., the tamper you get a kid ofーfull look for thenam,the black dog catches a toy in its mouth while it runs in the field ,o cão preto pega um brinquedo na boca enquanto corre no campo 
 Did I play part titles?,The mirror had a part made of metal,O espelho tinha uma parte de metal, did i play part titles ,the mirror had a part made of metal,o espelho tinha uma parte de metal
"ίνo como do pás, tên Note",The path the country is taking is uncertain.,O rumo do páis é incerto.,ίνo como do pás tên note,the path the country is taking is uncertain ,o rumo do páis é incerto 
 the objective of this conversation is,The purpose of the conversation is,O objetivo da conversa é, the objective of this conversation is,the purpose of the conversation is,o objetivo da conversa é
 quite interesting just as one of the gifthy沒,I'm only interested in the present.,Estou interessado apenas no presente., quite interesting just as one of the gifthy沒,i m only interested in the present ,estou interessado apenas no presente 
 Vai deixar ela sair?,Are you going to let her go out?,Você vai deixá-la sair?, vai deixar ela sair ,are you going to let her go out ,você vai deixá la sair 
" Take a look under the corner of thebergerde, Yellow, and Nerf's Colettersadden.",A baby crying surrounded by green? Yellow? And orange toys.,Um bebê chora enquanto cercado por verde? amarelo? e brinquedos laranja., take a look under the corner of thebergerde yellow and nerf s colettersadden ,a baby crying surrounded by green yellow and orange toys ,um bebê chora enquanto cercado por verde amarelo e brinquedos laranja 
 You´re just saying for example,I really don't know what to do.,Eu realmente não sei o que fazer., you re just saying for example,i really don t know what to do ,eu realmente não sei o que fazer 
 No wings will bring us to the world.,But they really don't know what they are saying.,Mas eles realmente não sabem o que estão dizendo., no wings will bring us to the world ,but they really don t know what they are saying ,mas eles realmente não sabem o que estão dizendo 
 A small toy with a ball colored in the area.,A small dog plays with a colorful ball in the sand.,Um cão pequeno joga com uma bola colorida na areia., a small toy with a ball colored in the area ,a small dog plays with a colorful ball in the sand ,um cão pequeno joga com uma bola colorida na areia 
 One guy pulling money from an electronic box.,A guy withdrawing money from an ATM.,Um cara tirando dinheiro de um caixa eletrônico., one guy pulling money from an electronic box ,a guy withdrawing money from an atm ,um cara tirando dinheiro de um caixa eletrônico 
" start the party, you",How does this affect you?,Como isso afeta você?, start the party you,how does this affect you ,como isso afeta você 
 The introduction goes along with the link tounftura winners in the description.,Nothing is as stretchy as a spider's silk.,Nada é tão elástico quanto a seda de uma aranha., the introduction goes along with the link tounftura winners in the description ,nothing is as stretchy as a spider s silk ,nada é tão elástico quanto a seda de uma aranha 
 The oscillator chose the alphabet with vacuum.,The plumber tightened the leaking valve.,O encanador apertou a válvula com vazamento., the oscillator chose the alphabet with vacuum ,the plumber tightened the leaking valve ,o encanador apertou a válvula com vazamento 
" The two men are fighting, check out and point at something",Two men on the balcony look up and point at something.,Dois homens na varanda olham para cima e apontam para alguma coisa., the two men are fighting check out and point at something,two men on the balcony look up and point at something ,dois homens na varanda olham para cima e apontam para alguma coisa 
 FIn께 Naur speak,Avengers: Infinity War.,Vingadores Guerra Infinita., fin께 naur speak,avengers infinity war ,vingadores guerra infinita 
