,hypothesis,reference,translation,hypothesis_clean,reference_clean,translation_clean
0, Pedir dinheiro emprestado às pessoas da aldeia.,Pedir dinheiro emprestado às pessoas da aldeia,Borrow money from people in the village, pedir dinheiro emprestado às pessoas da aldeia ,pedir dinheiro emprestado às pessoas da aldeia,borrow money from people in the village
1, Trancamos.,Trancá-los,Lock them up, trancamos ,trancá los,lock them up
2, O YouTube ainda é a melhor plataforma de vídeos.,O Youtube ainda é a melhor plataforma de vídeos.,Youtube is still the best video platform., o youtube ainda é a melhor plataforma de vídeos ,o youtube ainda é a melhor plataforma de vídeos ,youtube is still the best video platform 
3, Menina e menino beijando nas sombras.,Menina e menino beijando nas sombras,A girl and a boy kissing in the shadows, menina e menino beijando nas sombras ,menina e menino beijando nas sombras,a girl and a boy kissing in the shadows
4, Eu sou o Senhor.,Eu sou o Senhor,I am the Lord, eu sou o senhor ,eu sou o senhor,i am the lord
5, O mago lançou um feitiço muito poderoso na cidade.,O mago lançou um feitiço muito poderoso sobre a cidade.,The wizard cast a very powerful spell on the city., o mago lançou um feitiço muito poderoso na cidade ,o mago lançou um feitiço muito poderoso sobre a cidade ,the wizard cast a very powerful spell on the city 
6, Duas mulheres e uma menina levantam com troféus.,Duas mulheres e uma menina levantam com troféus.,Two women and a girl pose with trophies., duas mulheres e uma menina levantam com troféus ,duas mulheres e uma menina levantam com troféus ,two women and a girl pose with trophies 
7, Um cão preto e um cão preto e branco estão correndo na sujeira.,Um cão preto e um cão preto e branco estão correndo na sujeira.,"Two dogs, one black and the other black and white, are running around in the dirt.", um cão preto e um cão preto e branco estão correndo na sujeira ,um cão preto e um cão preto e branco estão correndo na sujeira ,two dogs one black and the other black and white are running around in the dirt 
8, Eu acho que eu não me deleio nisso.,Eu acho que o nome dela é Olivia.,I think her name is Olivia., eu acho que eu não me deleio nisso ,eu acho que o nome dela é olivia ,i think her name is olivia 
9, Dê ao diabo o seu devido.,Dê o diabo o seu devido.,Give the devil his due., dê ao diabo o seu devido ,dê o diabo o seu devido ,give the devil his due 
10," Onde quer que você vá, faça o que você verá.","Onde quer que você vá, faça o que você verá.","Wherever you go, do what you see.", onde quer que você vá faça o que você verá ,onde quer que você vá faça o que você verá ,wherever you go do what you see 
11, O estatista contém a greve indefinidamente.,Os taxistas mantêm a greve indefinidamente.,The taxi drivers remain on strike indefinitely., o estatista contém a greve indefinidamente ,os taxistas mantêm a greve indefinidamente ,the taxi drivers remain on strike indefinitely 
12, O cão preto pega um brinquedo da boca enquanto corre no campo.,O cão preto pega um brinquedo na boca enquanto corre no campo.,The black dog catches a toy in its mouth while it runs in the field., o cão preto pega um brinquedo da boca enquanto corre no campo ,o cão preto pega um brinquedo na boca enquanto corre no campo ,the black dog catches a toy in its mouth while it runs in the field 
13, O espelho tem uma parte frontal.,O espelho tinha uma parte de metal,The mirror had a part made of metal, o espelho tem uma parte frontal ,o espelho tinha uma parte de metal,the mirror had a part made of metal
14, O rumo do paz tem certo.,O rumo do páis é incerto.,The path the country is taking is uncertain., o rumo do paz tem certo ,o rumo do páis é incerto ,the path the country is taking is uncertain 
15, O objetivo desta conversa é...,O objetivo da conversa é,The purpose of the conversation is, o objetivo desta conversa é ,o objetivo da conversa é,the purpose of the conversation is
16, Estou interessado apenas no presente.,Estou interessado apenas no presente.,I'm only interested in the present., estou interessado apenas no presente ,estou interessado apenas no presente ,i m only interested in the present 
17, Você vai deixá-la sair?,Você vai deixá-la sair?,Are you going to let her go out?, você vai deixá la sair ,você vai deixá la sair ,are you going to let her go out 
18," Um bebê chora enquanto cercado por verde, amarelo e brinquedos laranja.",Um bebê chora enquanto cercado por verde? amarelo? e brinquedos laranja.,A baby crying surrounded by green? Yellow? And orange toys., um bebê chora enquanto cercado por verde amarelo e brinquedos laranja ,um bebê chora enquanto cercado por verde amarelo e brinquedos laranja ,a baby crying surrounded by green yellow and orange toys 
19, Eu realmente não sei o que fazer.,Eu realmente não sei o que fazer.,I really don't know what to do., eu realmente não sei o que fazer ,eu realmente não sei o que fazer ,i really don t know what to do 
20, Mas eles realmente não sabem o que estão dizendo.,Mas eles realmente não sabem o que estão dizendo.,But they really don't know what they are saying., mas eles realmente não sabem o que estão dizendo ,mas eles realmente não sabem o que estão dizendo ,but they really don t know what they are saying 
