translation,reference,source,translation_clean,reference_clean,source_clean
 Pedir dinheiro emprestado às pessoas da aldeia.,Borrow money from people in the village,Pedir dinheiro emprestado às pessoas da aldeia, pedir dinheiro emprestado às pessoas da aldeia ,borrow money from people in the village,pedir dinheiro emprestado às pessoas da aldeia
 Trancamos.,Lock them up,Trancá-los, trancamos ,lock them up,trancá los
 Youtube ainda é a melhor plataforma de vídeos.,Youtube is still the best video platform.,O Youtube ainda é a melhor plataforma de vídeos., youtube ainda é a melhor plataforma de vídeos ,youtube is still the best video platform ,o youtube ainda é a melhor plataforma de vídeos 
 Menina e Menino beijando nas sombras,A girl and a boy kissing in the shadows,Menina e menino beijando nas sombras, menina e menino beijando nas sombras,a girl and a boy kissing in the shadows,menina e menino beijando nas sombras
 Eu sou o senhor.,I am the Lord,Eu sou o Senhor, eu sou o senhor ,i am the lord,eu sou o senhor
 O mago lançou um feitiço muito poderoso na cidade.,The wizard cast a very powerful spell on the city.,O mago lançou um feitiço muito poderoso sobre a cidade., o mago lançou um feitiço muito poderoso na cidade ,the wizard cast a very powerful spell on the city ,o mago lançou um feitiço muito poderoso sobre a cidade 
 Duas mulheres e uma menina levantam com troféus.,Two women and a girl pose with trophies.,Duas mulheres e uma menina levantam com troféus., duas mulheres e uma menina levantam com troféus ,two women and a girl pose with trophies ,duas mulheres e uma menina levantam com troféus 
 Um cão preto e um branco estão correndo na sujeira.,"Two dogs, one black and the other black and white, are running around in the dirt.",Um cão preto e um cão preto e branco estão correndo na sujeira., um cão preto e um branco estão correndo na sujeira ,two dogs one black and the other black and white are running around in the dirt ,um cão preto e um cão preto e branco estão correndo na sujeira 
 Eu acho que o nome dela é o Gui.,I think her name is Olivia.,Eu acho que o nome dela é Olivia., eu acho que o nome dela é o gui ,i think her name is olivia ,eu acho que o nome dela é olivia 
 Dê o diabo o seu devido.,Give the devil his due.,Dê o diabo o seu devido., dê o diabo o seu devido ,give the devil his due ,dê o diabo o seu devido 
