,transcription,sentence,translation,transcription_clean,sentence_clean,translation_clean
0, e dinheiro emprestado às pessoas da aldeia.,Pedir dinheiro emprestado às pessoas da aldeia,Borrow money from people in the village, e dinheiro emprestado às pessoas da aldeia ,pedir dinheiro emprestado às pessoas da aldeia,borrow money from people in the village
1, Trancamos.,Trancá-los,Lock them up, trancamos ,trancá los,lock them up
2, YouTube ainda é a melhor plataforma de vídeos.,O Youtube ainda é a melhor plataforma de vídeos.,Youtube is still the best video platform., youtube ainda é a melhor plataforma de vídeos ,o youtube ainda é a melhor plataforma de vídeos ,youtube is still the best video platform 
3, Menina e menino beijando nas sombras,Menina e menino beijando nas sombras,A girl and a boy kissing in the shadows, menina e menino beijando nas sombras,menina e menino beijando nas sombras,a girl and a boy kissing in the shadows
4, Eu sou o Senhor.,Eu sou o Senhor,I am the Lord, eu sou o senhor ,eu sou o senhor,i am the lord
5, O mago lançou um feitiço muito poderoso na cidade.,O mago lançou um feitiço muito poderoso sobre a cidade.,The wizard cast a very powerful spell on the city., o mago lançou um feitiço muito poderoso na cidade ,o mago lançou um feitiço muito poderoso sobre a cidade ,the wizard cast a very powerful spell on the city 
6, Duas mulheres e uma menina levantam com troféus.,Duas mulheres e uma menina levantam com troféus.,Two women and a girl pose with trophies., duas mulheres e uma menina levantam com troféus ,duas mulheres e uma menina levantam com troféus ,two women and a girl pose with trophies 
7, Um cão preto e um cão preto e branco estão correndo na sujeira.,Um cão preto e um cão preto e branco estão correndo na sujeira.,"Two dogs, one black and the other black and white, are running around in the dirt.", um cão preto e um cão preto e branco estão correndo na sujeira ,um cão preto e um cão preto e branco estão correndo na sujeira ,two dogs one black and the other black and white are running around in the dirt 
8, Eu acho que o nome dela é o Ninho.,Eu acho que o nome dela é Olivia.,I think her name is Olivia., eu acho que o nome dela é o ninho ,eu acho que o nome dela é olivia ,i think her name is olivia 
9, Deu o diabo o seu devido.,Dê o diabo o seu devido.,Give the devil his due., deu o diabo o seu devido ,dê o diabo o seu devido ,give the devil his due 
10," Onde quer que você vá, faça o que você verá.","Onde quer que você vá, faça o que você verá.","Wherever you go, do what you see.", onde quer que você vá faça o que você verá ,onde quer que você vá faça o que você verá ,wherever you go do what you see 
11, Os taxistas plantem a greve indefinidamente.,Os taxistas mantêm a greve indefinidamente.,The taxi drivers remain on strike indefinitely., os taxistas plantem a greve indefinidamente ,os taxistas mantêm a greve indefinidamente ,the taxi drivers remain on strike indefinitely 
12, O cão preto pega um brinquedo da boca enquanto corre no campo.,O cão preto pega um brinquedo na boca enquanto corre no campo.,The black dog catches a toy in its mouth while it runs in the field., o cão preto pega um brinquedo da boca enquanto corre no campo ,o cão preto pega um brinquedo na boca enquanto corre no campo ,the black dog catches a toy in its mouth while it runs in the field 
